time,gps_lat_upper,gps_lon_upper,gps_alt_upper,t_u_upper,rh_u_upper,station_id_upper,site,position_upper,resolution,season,gps_lat_lower,gps_lon_lower,gps_alt_lower,t_u_lower,rh_u_lower,station_id_lower,position_lower,elev_upper_fixed,elev_lower_fixed,elev_diff_m,gradient_per100m
2013-09-01,67.000316,-47.022253,1839.81,-9.5546,86.0085,KAN_U,KAN,U,month,SON,67.096094,-49.943877,674.63,-1.1099,76.3208,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7219975547822818
2013-10-01,67.000323,-47.022359,1838.71,-15.9848,83.7026,KAN_U,KAN,U,month,SON,67.096079,-49.944035,673.71,-6.5613,73.8433,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8056821387960297
2013-11-01,67.000327,-47.022508,1836.19,-20.5011,83.6924,KAN_U,KAN,U,month,SON,,,,-12.7531,72.18,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6624317091729865
2013-12-01,,,,-29.2757,77.0055,KAN_U,KAN,U,month,DJF,,,,-17.4098,64.3424,KAN_L,L,1840.61,670.98,1169.6299999999999,-1.014500312064499
2014-01-01,67.000322,-47.022705,1834.32,-21.9533,78.6899,KAN_U,KAN,U,month,DJF,,,,-13.2763,60.2534,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.741858536460248
2014-02-01,67.00035,-47.022771,1837.44,-23.5768,75.305,KAN_U,KAN,U,month,DJF,,,,-15.62,54.3225,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6802835084599403
2014-03-01,,,,-25.8791,75.1495,KAN_U,KAN,U,month,MAM,,,,-18.0298,61.5852,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6710925677350957
2014-04-01,67.000341,-47.022994,1838.03,-20.0459,77.6062,KAN_U,KAN,U,month,MAM,67.095968,-49.945188,674.4,-13.9976,68.1036,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5171122491728153
2014-05-01,67.000341,-47.023077,1841.03,-11.2194,77.3204,KAN_U,KAN,U,month,MAM,67.095946,-49.945342,675.75,-3.3819,74.0788,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6700837016834384
2014-06-01,67.00035,-47.023158,1842.07,-3.6377,78.9066,KAN_U,KAN,U,month,JJA,67.09592,-49.945639,676.62,3.1526,70.2949,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5805511144549986
2014-07-01,67.000357,-47.023253,1840.51,-2.2924,80.558,KAN_U,KAN,U,month,JJA,67.095874,-49.945988,675.81,3.7248,73.3059,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5144532886468371
2014-08-01,67.000355,-47.023338,1839.46,-3.4199,81.0485,KAN_U,KAN,U,month,JJA,67.095841,-49.946255,673.62,3.2541,76.4381,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5706077990475621
2014-09-01,67.000354,-47.023467,1837.13,-9.7403,83.9746,KAN_U,KAN,U,month,SON,67.095816,-49.946439,671.83,-1.648,76.8295,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6918683686293957
2014-10-01,67.000362,-47.023558,1836.13,-18.2552,82.0747,KAN_U,KAN,U,month,SON,67.095807,-49.946552,671.7,-7.4773,72.3872,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.9214794422167694
2014-11-01,,,,-21.6862,78.4283,KAN_U,KAN,U,month,SON,,,,-11.4203,60.7291,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8777049152296027
2014-12-01,,,,-26.9251,81.7953,KAN_U,KAN,U,month,DJF,,,,-16.3985,70.6962,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8999940152013888
2015-01-01,,,,-30.1141,78.9287,KAN_U,KAN,U,month,DJF,,,,-20.6826,63.0936,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.806366115780204
2015-02-01,,,,-31.8527,81.2642,KAN_U,KAN,U,month,DJF,,,,-22.853,65.8296,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7694484580593862
2015-03-01,,,,-26.4253,79.2683,KAN_U,KAN,U,month,MAM,,,,-19.1064,63.6397,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6257448936843275
2015-04-01,67.000362,-47.024275,1840.64,-19.8585,78.6882,KAN_U,KAN,U,month,MAM,67.095704,-49.947503,673.43,-14.0881,69.8724,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.49335259868505416
2015-05-01,67.000317,-47.024113,1849.41,-13.27,72.3918,KAN_U,KAN,U,month,MAM,67.095687,-49.947614,680.59,-4.6771,67.6393,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7346682284141139
2015-06-01,67.000317,-47.024171,1849.6,-5.8337,72.4222,KAN_U,KAN,U,month,JJA,67.095667,-49.947826,680.05,1.7273,70.054,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6464437471679079
2015-07-01,67.000332,-47.024239,1847.04,-2.8295,76.357,KAN_U,KAN,U,month,JJA,67.095661,-49.948188,679.5,3.3135,72.1222,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5252088267229807
2015-08-01,67.000331,-47.024374,1846.59,-6.367,79.7259,KAN_U,KAN,U,month,JJA,67.095639,-49.948421,677.69,1.6412,79.0838,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6846780605832615
2015-09-01,67.000341,-47.024479,1845.99,-10.5363,81.3884,KAN_U,KAN,U,month,SON,67.095612,-49.948658,676.75,-2.0451,79.9584,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7259731710027959
2015-10-01,67.000342,-47.024583,1845.7,-18.0128,82.178,KAN_U,KAN,U,month,SON,67.095596,-49.948804,676.19,-9.0687,72.187,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7646948180193737
2015-11-01,,,,-26.8764,79.19,KAN_U,KAN,U,month,SON,67.095571,-49.948976,675.79,-16.8922,67.4412,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8536203756743587
2015-12-01,,,,-29.3341,74.9617,KAN_U,KAN,U,month,DJF,67.095555,-49.949165,672.66,-20.9261,61.7048,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.718859810367381
2016-01-01,,,,-22.2797,73.9532,KAN_U,KAN,U,month,DJF,67.095536,-49.949329,672.76,-12.8105,54.1994,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8095893573181263
2016-02-01,,,,-23.792,76.3317,KAN_U,KAN,U,month,DJF,67.095528,-49.949485,676.26,-13.5247,56.7501,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8778246112018334
2016-03-01,,,,-20.5287,75.2751,KAN_U,KAN,U,month,MAM,67.095503,-49.949681,676.52,-11.2869,64.4002,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7901473115429668
2016-04-01,67.000358,-47.025233,1843.87,-10.4093,74.2427,KAN_U,KAN,U,month,MAM,67.095477,-49.949887,676.04,-2.6463,65.3074,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6637141660183136
2016-05-01,67.000362,-47.025322,1842.31,-9.0463,75.7697,KAN_U,KAN,U,month,MAM,67.095446,-49.950139,676.2,-0.578,74.2319,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7240152868855965
2016-06-01,67.000372,-47.025402,1843.62,-2.185,77.7431,KAN_U,KAN,U,month,JJA,67.095403,-49.950489,675.57,2.5428,75.3757,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.4042132982225149
2016-07-01,67.000379,-47.025488,1843.54,-2.1255,75.4381,KAN_U,KAN,U,month,JJA,67.095424,-49.950737,673.32,3.9055,72.9802,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5156331489445382
2016-08-01,67.000383,-47.025587,1843.26,-3.6149,79.4672,KAN_U,KAN,U,month,JJA,67.095473,-49.950908,671.56,2.7455,80.2471,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5437959012679224
2016-09-01,67.000385,-47.025735,1840.95,-12.7393,78.8536,KAN_U,KAN,U,month,SON,67.095456,-49.951051,670.98,-2.7427,81.3574,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8546805399998291
2016-10-01,67.000381,-47.02585,1840.52,-16.5774,80.7819,KAN_U,KAN,U,month,SON,67.095444,-49.951171,670.76,-7.8309,76.8215,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.747800586510264
2016-11-01,67.000366,-47.025969,1845.46,-20.6346,83.5397,KAN_U,KAN,U,month,SON,67.095418,-49.951288,668.08,-10.89,80.1782,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8331352649983328
2016-12-01,67.00038,-47.026045,1836.1,-25.6523,75.9566,KAN_U,KAN,U,month,DJF,67.095418,-49.95143,669.41,-15.5309,69.3012,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.865350580952951
2017-01-01,67.000383,-47.026186,1844.84,-24.7568,78.7443,KAN_U,KAN,U,month,DJF,67.095408,-49.951552,670.12,-16.2758,74.5963,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7251011003479733
2017-02-01,,,,-24.452,77.3839,KAN_U,KAN,U,month,DJF,67.095379,-49.951705,667.94,-17.4835,70.2562,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5957867017774855
2017-03-01,,,,-23.9223,72.4124,KAN_U,KAN,U,month,MAM,67.095362,-49.951816,668.55,-15.638,71.5394,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7082838162495833
2017-04-01,67.000412,-47.026477,1840.14,-19.8691,72.8155,KAN_U,KAN,U,month,MAM,67.095346,-49.951999,668.98,-11.2342,72.6306,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.73825910758103
2017-05-01,67.000412,-47.026533,1841.54,-6.9754,76.0371,KAN_U,KAN,U,month,MAM,67.095329,-49.952163,669.03,-0.7022,81.1012,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5363405521404204
2017-06-01,67.000414,-47.026631,1841.64,-5.9392,72.5535,KAN_U,KAN,U,month,JJA,67.095297,-49.952444,668.78,1.9364,77.9331,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6733411420705693
2017-07-01,67.000413,-47.026736,1840.89,-4.2281,76.5147,KAN_U,KAN,U,month,JJA,67.095259,-49.952747,667.69,2.686,74.5773,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5911356582850988
2017-08-01,67.000418,-47.026836,1841.29,-4.2682,83.9779,KAN_U,KAN,U,month,JJA,67.095224,-49.953005,666.02,2.6851,81.7501,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5944871455075538
2017-09-01,67.000417,-47.026942,1839.36,-12.1572,82.7294,KAN_U,KAN,U,month,SON,67.095197,-49.953233,663.29,-2.1286,75.1236,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.857416447936527
2017-10-01,67.000424,-47.027048,1839.9,-14.1921,84.4917,KAN_U,KAN,U,month,SON,67.09518,-49.953387,662.87,-5.344,75.1385,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7564870942092798
2017-11-01,67.000415,-47.027166,1838.98,-21.9779,83.3646,KAN_U,KAN,U,month,SON,67.095161,-49.95357,663.16,-10.5004,69.3694,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.9812932294828282
2017-12-01,67.000422,-47.027269,1846.2,-21.9901,79.7426,KAN_U,KAN,U,month,DJF,67.095137,-49.953769,661.48,-10.5279,68.3186,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.9799851235005943
2018-01-01,67.00042,-47.027393,1843.56,-28.996,73.2946,KAN_U,KAN,U,month,DJF,67.095124,-49.95395,662.86,-17.5958,61.4288,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.9746843018732418
2018-02-01,67.00044,-47.027475,1845.72,-29.3741,74.2762,KAN_U,KAN,U,month,DJF,67.095099,-49.954113,662.08,-22.528,68.8253,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5853218539196157
2018-03-01,67.000436,-47.027556,1843.32,-24.0631,74.5348,KAN_U,KAN,U,month,MAM,67.09508,-49.954291,662.75,-14.1756,68.4151,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8453528038781496
2018-04-01,67.000456,-47.02771,1847.76,-16.933,73.3874,KAN_U,KAN,U,month,MAM,67.095051,-49.95451,661.75,-8.5645,72.3687,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7154826740080197
2018-05-01,67.000453,-47.027809,1847.81,-15.3811,72.2719,KAN_U,KAN,U,month,MAM,67.095031,-49.954683,661.75,-6.0319,69.1654,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7993297025555091
2018-06-01,67.000451,-47.027874,1845.35,-4.3273,77.1913,KAN_U,KAN,U,month,JJA,67.094997,-49.954961,661.57,2.027,76.8069,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5432743688174894
2018-07-01,67.000454,-47.027962,1843.29,-2.2261,84.4418,KAN_U,KAN,U,month,JJA,67.094958,-49.955272,660.36,2.9423,80.5523,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.4418833306259245
2018-08-01,67.000454,-47.028079,1840.35,-5.0386,81.9711,KAN_U,KAN,U,month,JJA,67.09493,-49.955522,658.59,2.8364,76.7064,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6732898437967564
2018-09-01,67.000466,-47.028206,1830.47,-12.2186,80.0064,KAN_U,KAN,U,month,SON,67.09495,-49.955671,658.17,-1.784,74.0799,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.892128279883382
2018-10-01,67.000468,-47.028291,1826.32,-23.7264,77.331,KAN_U,KAN,U,month,SON,67.094929,-49.955806,657.93,-11.0803,69.2808,KAN_L,L,1840.61,670.98,1169.6299999999999,-1.0812051674461156
2018-11-01,67.000473,-47.028418,1831.99,-20.0484,76.4644,KAN_U,KAN,U,month,SON,67.094921,-49.955972,658.76,-12.6024,66.214,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6366115780203998
2018-12-01,67.00046,-47.02853,1824.96,-18.359,79.0806,KAN_U,KAN,U,month,DJF,67.094895,-49.956149,656.19,-10.8574,77.1448,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6413652180604125
2019-01-01,67.000475,-47.028663,1829.17,-23.9446,78.9906,KAN_U,KAN,U,month,DJF,67.09488,-49.9563,658.13,-16.3237,70.2287,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6515650248369145
2019-02-01,67.000478,-47.028734,1826.08,-22.1947,73.8313,KAN_U,KAN,U,month,DJF,67.09486,-49.956448,657.42,-13.6585,61.8377,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7298205415387774
2019-03-01,67.000495,-47.028772,1826.28,-25.33,73.0133,KAN_U,KAN,U,month,MAM,67.094834,-49.956614,656.54,-16.077,67.1083,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7911048793208107
2019-04-01,67.000482,-47.028931,1825.45,-13.4885,75.6959,KAN_U,KAN,U,month,MAM,67.094809,-49.956829,656.69,-5.3203,62.6609,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6983576002667511
2019-05-01,67.000488,-47.029038,1826.28,-7.0249,75.151,KAN_U,KAN,U,month,MAM,67.094785,-49.957051,656.84,2.5242,65.6887,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8164205774475689
2019-06-01,67.000493,-47.029118,1832.71,-2.4185,79.5908,KAN_U,KAN,U,month,JJA,67.094741,-49.957387,655.93,3.5942,73.4276,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5140685515932389
2019-07-01,67.000496,-47.029203,1836.66,-1.3121,81.0636,KAN_U,KAN,U,month,JJA,67.094693,-49.957647,653.14,4.7799,71.0265,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5208484734488684
2019-08-01,67.000497,-47.029313,1837.43,-5.8778,81.7124,KAN_U,KAN,U,month,JJA,67.094657,-49.957862,650.48,2.8382,73.5229,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7451929242580987
2019-09-01,67.000496,-47.029426,1828.48,-10.1285,82.6709,KAN_U,KAN,U,month,SON,67.094647,-49.957996,649.78,-0.732,74.5283,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8033737164744408
2019-10-01,67.000502,-47.029521,1829.17,-16.1827,76.4791,KAN_U,KAN,U,month,SON,67.094633,-49.958128,649.55,-4.8892,65.2876,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.965561758846815
2019-11-01,67.000504,-47.029618,1829.59,-17.1226,75.4324,KAN_U,KAN,U,month,SON,67.094612,-49.958276,648.31,-6.105,61.3723,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.9419731026050973
2019-12-01,67.000514,-47.029744,1826.44,-24.9888,76.7454,KAN_U,KAN,U,month,DJF,67.094601,-49.958417,648.53,-15.405,68.1868,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8193873276164259
2020-01-01,67.000505,-47.029836,1829.35,-29.4675,73.1391,KAN_U,KAN,U,month,DJF,67.094578,-49.958583,646.43,-19.913,71.4307,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8168822619118868
2020-02-01,67.000527,-47.029942,1821.23,-28.9727,73.014,KAN_U,KAN,U,month,DJF,67.094558,-49.958734,646.02,-20.694,69.0021,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7078050323606612
2020-03-01,67.000514,-47.030023,1824.15,-27.4417,76.8743,KAN_U,KAN,U,month,MAM,67.094544,-49.958888,648.25,-17.5058,71.7472,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8494908646324052
2020-04-01,67.000523,-47.030172,1827.35,-17.4912,75.5886,KAN_U,KAN,U,month,MAM,67.094519,-49.959069,648.23,-6.8427,63.427,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.9104161144977471
2020-05-01,67.000518,-47.030266,1826.13,-9.4909,76.2523,KAN_U,KAN,U,month,MAM,67.094493,-49.959251,647.92,-0.6567,70.8527,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7552986841992767
2020-06-01,67.000525,-47.030374,1829.57,-4.2058,81.7744,KAN_U,KAN,U,month,JJA,67.094456,-49.959557,647.65,1.9842,78.7408,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5292271915050059
2020-07-01,67.000533,-47.030462,1833.33,-1.9739,83.9417,KAN_U,KAN,U,month,JJA,67.094413,-49.959862,645.65,4.1389,76.3679,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5226268136077221
2020-08-01,67.000529,-47.030569,1829.94,-5.6561,81.313,KAN_U,KAN,U,month,JJA,67.094377,-49.960092,643.58,2.5985,77.1235,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7057445516958355
2020-09-01,67.000532,-47.030658,1832.8,-13.2014,85.5103,KAN_U,KAN,U,month,SON,67.09437,-49.960262,643.08,-3.2646,,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8495678120431248
2020-10-01,67.000537,-47.030751,1836.57,-14.1214,85.9809,KAN_U,KAN,U,month,SON,67.094364,-49.960386,643.38,-5.638,,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7253062934432256
2020-11-01,67.000537,-47.030849,1839.73,-22.0384,82.5215,KAN_U,KAN,U,month,SON,67.094351,-49.960553,642.11,-11.64,,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8890332840299924
2020-12-01,67.000537,-47.03097,1834.54,-20.7773,82.5027,KAN_U,KAN,U,month,DJF,67.094326,-49.960719,642.39,-9.7006,,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.9470259825756866
2021-01-01,67.000542,-47.031088,1837.13,-21.6105,79.5675,KAN_U,KAN,U,month,DJF,67.0943,-49.96089,642.31,-12.1605,,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8079478125561073
2021-02-01,67.000545,-47.031204,1840.09,-24.5365,77.8955,KAN_U,KAN,U,month,DJF,67.094285,-49.961056,641.97,-16.7267,,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6677154313757342
2021-03-01,67.000552,-47.031317,1838.93,-22.6961,81.0391,KAN_U,KAN,U,month,MAM,67.094262,-49.961227,641.17,-14.7315,,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6809503860195106
2021-04-01,67.000546,-47.031424,1839.66,-14.8288,83.5732,KAN_U,KAN,U,month,MAM,67.094239,-49.961423,642.8,-6.2282,,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7353265562613819
2021-05-01,67.000535,-47.03154,1840.68,-12.0086,76.4711,KAN_U,KAN,U,month,MAM,67.094214,-49.961608,642.57,-1.0213,,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.9393825397775365
2021-06-01,67.000547,-47.031594,1841.17,-5.3806,85.2775,KAN_U,KAN,U,month,JJA,67.09418,-49.961895,642.08,2.2512,,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.652496943477852
